date,temp_max,temp_min,temp_mean,precipitation
2023-05-14,21.0,10.5,15.7,0.0
2023-05-15,25.9,10.3,17.5,0.0
2023-05-16,27.9,14.0,20.3,0.0
2023-05-17,26.7,13.7,19.9,0.0
2023-05-18,25.3,15.0,19.9,0.2
2023-05-19,24.9,15.6,20.4,0.0
2023-05-20,25.1,14.7,19.0,0.0
2023-05-21,20.2,14.4,16.6,1.1
2023-05-22,24.6,13.7,18.1,0.0
2023-05-23,24.9,12.9,18.3,0.0
2023-05-24,25.3,12.9,18.8,0.0
2023-05-25,24.9,12.6,18.8,0.0
2023-05-26,25.8,14.7,19.9,0.1
2023-05-27,19.8,16.0,18.3,24.6
2023-05-28,19.7,17.7,18.6,37.4
2023-05-29,26.7,18.0,21.4,5.9
2023-05-30,26.0,17.9,21.3,1.6
2023-05-31,25.0,17.0,20.3,0.0
2023-06-01,24.4,17.0,20.6,1.1
2023-06-02,23.4,15.8,18.8,0.7
2023-06-03,25.5,14.2,19.5,0.0
2023-06-04,24.0,14.1,18.8,0.0
2023-06-05,22.5,14.7,18.8,0.0
2023-06-06,22.5,14.6,18.4,0.0
2023-06-07,24.8,16.3,20.0,0.4
2023-06-08,22.7,16.9,19.2,20.8
2023-06-09,25.8,16.4,20.7,3.1
2023-06-10,27.4,18.1,21.1,26.1
2023-06-11,23.3,17.0,20.2,15.5
2023-06-12,25.4,17.2,20.9,0.7
2023-06-13,23.7,16.9,20.0,0.5
2023-06-14,24.7,14.3,19.9,2.7
2023-06-15,25.6,15.9,20.5,0.9
2023-06-16,25.8,16.6,20.9,0.0
2023-06-17,27.9,16.0,21.4,0.0
2023-06-18,29.3,18.4,23.1,0.0
2023-06-19,33.9,20.3,26.3,0.0
2023-06-20,25.9,20.4,23.0,4.9
2023-06-21,24.0,19.0,21.0,35.7
2023-06-22,24.4,15.1,20.0,1.4
2023-06-23,27.7,18.1,22.1,0.1
2023-06-24,28.3,20.4,24.2,0.1
2023-06-25,31.4,19.8,25.4,0.0
2023-06-26,26.1,21.2,23.1,43.8
2023-06-27,27.3,20.4,23.5,3.2
2023-06-28,28.1,20.9,24.0,2.1
2023-06-29,24.5,22.3,23.1,45.8
2023-06-30,26.8,21.8,24.0,10.7
2023-07-01,31.3,21.4,25.5,0.2
2023-07-02,29.0,21.1,24.3,0.2
2023-07-03,32.6,21.3,26.8,0.1
2023-07-04,28.0,22.6,24.9,29.6
2023-07-05,26.2,21.0,23.4,19.6
2023-07-06,30.0,20.6,25.1,0.0
2023-07-07,29.9,20.9,24.7,0.0
2023-07-08,28.9,19.7,23.8,0.5
2023-07-09,26.1,22.2,23.7,37.3
2023-07-10,29.0,21.1,24.8,6.2
2023-07-11,24.1,20.9,23.0,41.1
2023-07-12,28.1,21.7,24.8,2.8
2023-07-13,25.7,23.3,24.3,48.1
2023-07-14,25.6,23.5,24.4,56.5
2023-07-15,26.0,23.0,24.1,35.8
2023-07-16,25.6,22.4,23.6,1.7
2023-07-17,26.0,22.0,23.9,4.4
2023-07-18,25.5,22.1,23.8,15.5
2023-07-19,30.5,21.5,25.2,0.1
2023-07-20,30.9,21.0,25.6,0.0
2023-07-21,32.0,22.0,27.1,0.1
2023-07-22,30.2,24.0,26.3,10.4
2023-07-23,26.2,23.5,24.6,44.3
2023-07-24,29.0,23.1,25.3,14.8
2023-07-25,28.6,22.4,25.2,13.1
2023-07-26,28.9,22.3,24.8,30.4
2023-07-27,30.8,22.0,25.7,2.3
2023-07-28,32.0,22.7,27.1,2.2
2023-07-29,31.4,24.5,27.6,0.2
2023-07-30,33.1,22.7,27.6,0.1
2023-07-31,31.4,23.5,27.2,0.3
