date,temp_max,temp_min,temp_mean,precipitation,ma7,ma30,day_over_day_change,rolling_std_30
2023-01-01,1.7,-5.9,-2.5,0.0,-2.5,-2.5,,
2023-01-02,-2.0,-8.6,-6.0,0.0,-4.25,-4.25,-3.5,2.4748737341529163
2023-01-03,-1.5,-9.2,-6.3,0.0,-4.933333333333334,-4.933333333333334,-0.2999999999999998,2.1126602503321097
2023-01-04,1.6,-7.2,-4.2,0.0,-4.75,-4.75,2.0999999999999996,1.7635192088548397
2023-01-05,3.2,-7.3,-3.3,0.0,-4.46,-4.46,0.9000000000000004,1.6592166826548
2023-01-06,4.7,-5.9,-1.5,4.2,-3.966666666666667,-3.966666666666667,1.7999999999999998,1.9138094645671149
2023-01-07,3.9,-4.9,0.1,0.5,-3.3857142857142857,-3.3857142857142857,1.6,2.3269640961480054
2023-01-08,5.2,-6.5,-1.1,0.0,-3.185714285714286,-3.1,-1.2000000000000002,2.3009314883945837
2023-01-09,5.0,-4.6,1.0,0.0,-2.185714285714286,-2.6444444444444444,2.1,2.549564232918594
2023-01-10,6.2,-6.4,-1.4,0.0,-1.4857142857142855,-2.52,-2.4,2.435752222392271
2023-01-11,6.4,-5.4,-0.6,0.0,-0.9714285714285714,-2.3454545454545457,0.7999999999999999,2.382168607115641
2023-01-12,11.1,-3.2,1.7,0.0,-0.2571428571428571,-2.0083333333333333,2.3,2.5539482209221696
2023-01-13,9.9,3.1,6.1,18.0,0.8285714285714285,-1.3846153846153846,4.3999999999999995,3.322109308317572
2023-01-14,6.9,1.5,4.3,4.6,1.4285714285714286,-0.9785714285714285,-1.7999999999999998,3.534919990701252
2023-01-15,1.9,-4.6,-0.7,5.0,1.4857142857142858,-0.9600000000000001,-5.0,3.4070934407916837
2023-01-16,-3.1,-9.4,-6.2,0.0,0.457142857142857,-1.2875,-5.5,3.5426684857604163
2023-01-17,-1.6,-8.8,-5.3,0.0,-0.10000000000000002,-1.5235294117647058,0.9000000000000004,3.5655520981617816
2023-01-18,1.0,-7.3,-4.3,0.0,-0.6285714285714287,-1.6777777777777778,1.0,3.5204537734845815
2023-01-19,3.6,-8.0,-2.5,1.3,-1.2285714285714289,-1.7210526315789476,1.7999999999999998,3.4264622097513056
2023-01-20,1.5,-10.1,-4.4,0.4,-2.7285714285714286,-1.855,-1.9000000000000004,3.388443983833722
2023-01-21,-1.5,-12.1,-7.3,0.0,-4.385714285714286,-2.1142857142857143,-2.8999999999999995,3.509884002967294
2023-01-22,2.6,-6.3,-2.6,0.6,-4.6571428571428575,-2.1363636363636362,4.699999999999999,3.426861045239013
2023-01-23,4.1,-8.1,-2.0,0.0,-4.057142857142857,-2.130434782608696,0.6000000000000001,3.3481928344880307
2023-01-24,-8.9,-18.4,-14.9,0.0,-5.428571428571429,-2.6625,-12.9,4.185358797148647
2023-01-25,-8.1,-18.5,-13.3,0.0,-6.714285714285714,-3.088,1.5999999999999996,4.616665463297076
2023-01-26,-2.0,-10.3,-6.0,1.1,-7.214285714285714,-3.2,7.300000000000001,4.559298191608002
2023-01-27,-5.1,-15.8,-10.1,0.0,-8.028571428571428,-3.4555555555555553,-4.1,4.663799485508103
2023-01-28,-2.5,-12.1,-7.9,0.0,-8.114285714285716,-3.6142857142857143,2.1999999999999993,4.6530527045048045
2023-01-29,4.0,-9.6,-4.1,0.4,-8.328571428571427,-3.6310344827586207,3.8000000000000007,4.570097173730543
2023-01-30,2.4,-6.5,-3.2,0.0,-8.5,-3.6166666666666667,0.8999999999999995,4.491300658962324
2023-01-31,7.4,-5.7,-0.0,0.2,-6.371428571428572,-3.533333333333333,3.2,4.5357076270589705
2023-02-01,3.5,-4.8,-0.3,0.0,-4.514285714285714,-3.3433333333333333,-0.3,4.548185188154406
2023-02-02,0.5,-6.1,-3.6,0.0,-4.171428571428572,-3.2533333333333334,-3.3000000000000003,4.514248196722152
2023-02-03,1.8,-5.0,-3.1,0.0,-3.1714285714285713,-3.216666666666667,0.5,4.510759805508215
2023-02-04,4.1,-7.0,-2.8,0.0,-2.442857142857143,-3.2,0.30000000000000027,4.511364958978985
2023-02-05,6.1,-6.1,-0.6,0.0,-1.9428571428571428,-3.1700000000000004,2.1999999999999997,4.526028174291755
2023-02-06,7.0,-4.7,-0.2,0.0,-1.5142857142857142,-3.1799999999999997,0.39999999999999997,4.518879934460416
2023-02-07,7.8,-3.1,0.8,0.0,-1.4000000000000001,-3.1166666666666667,1.0,4.562144333484007
2023-02-08,6.7,-4.7,-0.2,0.0,-1.3857142857142857,-3.1566666666666667,-1.0,4.529952677939122
2023-02-09,9.3,-5.2,1.5,0.2,-0.6571428571428573,-3.06,1.7,4.599145347891768
2023-02-10,6.4,-2.8,2.3,1.8,0.11428571428571425,-2.9633333333333334,0.7999999999999998,4.682357447308762
2023-02-11,5.1,-4.8,-0.6,0.0,0.4285714285714285,-3.04,-2.9,4.621807378967223
2023-02-12,8.3,-3.8,1.7,0.0,0.7571428571428571,-3.1866666666666665,2.3,4.385535262682298
2023-02-13,8.1,0.7,4.2,0.5,1.3857142857142857,-3.19,2.5,4.37968271563765
2023-02-14,6.2,-4.8,0.3,0.0,1.3142857142857143,-3.1566666666666663,-3.9000000000000004,4.403030565521838
2023-02-15,6.5,-3.4,0.7,0.0,1.442857142857143,-2.926666666666667,0.39999999999999997,4.418763544745048
2023-02-16,4.0,-3.1,0.8,0.1,1.342857142857143,-2.723333333333333,0.10000000000000009,4.446050811235963
2023-02-17,7.3,-4.4,0.8,0.0,1.1285714285714286,-2.5533333333333332,0.0,4.48105077989014
2023-02-18,8.0,-1.3,3.3,0.0,1.6857142857142855,-2.36,2.5,4.606786597903217
2023-02-19,4.6,-2.8,2.0,0.0,1.7285714285714284,-2.146666666666667,-1.2999999999999998,4.656973512792464
2023-02-20,1.2,-5.6,-2.5,0.0,0.7714285714285712,-1.9866666666666668,-4.5,4.555158752927039
2023-02-21,2.3,-6.8,-3.3,0.0,0.25714285714285706,-2.01,-0.7999999999999998,4.560198876485921
2023-02-22,5.3,-6.5,-1.8,0.0,-0.10000000000000012,-2.0033333333333334,1.4999999999999998,4.5603601894446095
2023-02-23,7.1,-5.3,0.0,0.0,-0.2142857142857144,-1.5066666666666668,1.8,3.865848109948891
2023-02-24,7.1,-2.2,1.6,0.0,-0.10000000000000009,-1.01,1.6,3.1978818420732935
2023-02-25,4.4,-5.1,-1.1,0.0,-0.7285714285714285,-0.8466666666666666,-2.7,3.0562240996246413
2023-02-26,6.7,-6.2,-0.7,0.0,-1.1142857142857143,-0.5333333333333333,0.40000000000000013,2.5074142930081615
2023-02-27,9.5,-4.6,0.5,0.0,-0.6857142857142858,-0.2533333333333333,1.2,2.090822859518488
2023-02-28,7.5,-4.9,2.2,0.0,0.09999999999999996,-0.043333333333333314,1.7000000000000002,2.0057990639786136
2023-03-01,8.3,0.7,4.5,0.3,1.0,0.21333333333333335,2.3,2.0792461056392777
2023-03-02,5.4,-4.0,0.4,0.0,1.0571428571428572,0.22666666666666668,-4.1,2.0791134273238128
2023-03-03,8.8,-4.9,1.9,0.0,1.0999999999999999,0.3,1.5,2.0986038051605864
2023-03-04,12.6,-1.3,4.3,0.0,1.8714285714285712,0.5633333333333332,2.4,2.087975976432902
2023-03-05,12.9,-2.4,4.6,0.0,2.6285714285714286,0.8200000000000001,0.2999999999999998,2.0953807982453174
2023-03-06,13.4,-2.9,5.2,0.0,3.3000000000000003,1.0866666666666664,0.6000000000000005,2.127607257855211
2023-03-07,16.3,2.9,8.4,0.0,4.185714285714286,1.3866666666666667,3.2,2.4859235893232987
2023-03-08,15.2,4.6,9.4,6.5,4.885714285714285,1.7066666666666668,1.0,2.8637970132908066
2023-03-09,11.1,4.2,8.6,0.9,6.057142857142857,1.9666666666666666,-0.8000000000000007,3.1211551059507294
2023-03-10,20.2,2.5,9.6,0.0,7.1571428571428575,2.2933333333333334,1.0,3.3880045325594956
2023-03-11,19.6,5.3,11.0,0.0,8.114285714285714,2.61,1.4000000000000004,3.7372634281027732
2023-03-12,7.5,-1.1,4.8,7.3,8.142857142857142,2.6933333333333334,-6.2,3.757928018004836
2023-03-13,5.3,-4.0,0.7,0.0,7.5,2.7366666666666664,-4.1,3.7260021409042423
2023-03-14,12.6,0.6,5.7,0.0,7.114285714285714,2.8699999999999997,5.0,3.7590488525506123
2023-03-15,13.8,3.1,7.3,0.3,6.814285714285715,2.9733333333333336,1.5999999999999996,3.8386360125416443
2023-03-16,9.1,-2.0,3.0,0.0,6.014285714285714,3.063333333333333,-4.3,3.8053033168636294
2023-03-17,10.8,-2.1,4.5,0.0,5.285714285714286,3.1899999999999995,1.5,3.787124284312253
2023-03-18,12.5,-0.6,5.7,0.0,4.5285714285714285,3.353333333333333,1.2000000000000002,3.7861574855976516
2023-03-19,12.4,-2.1,4.7,0.0,4.514285714285714,3.4833333333333334,-1.0,3.7623436691851366
2023-03-20,13.7,-0.3,6.1,0.6,5.285714285714286,3.5766666666666667,1.3999999999999995,3.792250112998909
2023-03-21,18.2,0.6,9.0,0.0,5.757142857142857,3.81,2.9000000000000004,3.905553075761001
2023-03-22,22.0,4.8,13.2,0.0,6.6000000000000005,4.333333333333333,4.199999999999999,4.078905645435774
2023-03-23,22.0,11.0,15.5,2.1,8.385714285714286,4.96,2.3000000000000007,4.303695284688297
2023-03-24,16.6,4.7,10.3,0.0,9.214285714285714,5.363333333333333,-5.199999999999999,4.21438287160834
2023-03-25,17.0,6.3,11.0,0.1,9.971428571428572,5.73,0.6999999999999993,4.2101806005984095
2023-03-26,13.0,3.5,8.3,0.0,10.485714285714284,5.953333333333333,-2.6999999999999993,4.160962532323778
2023-03-27,11.9,-0.5,5.2,0.0,10.357142857142858,6.163333333333333,-3.1000000000000005,3.946144633850156
2023-03-28,14.2,0.4,6.9,0.0,10.057142857142859,6.416666666666667,1.7000000000000002,3.728278083950335
2023-03-29,18.2,2.3,9.3,0.0,9.5,6.71,2.4000000000000004,3.5903462516721927
2023-03-30,19.8,4.0,11.1,0.0,8.871428571428572,7.006666666666666,1.799999999999999,3.5724938969406477
2023-03-31,21.9,5.4,12.3,0.0,9.157142857142858,7.266666666666667,1.200000000000001,3.6663740740102786
2023-04-01,24.3,5.2,14.9,0.0,9.714285714285714,7.75,2.5999999999999996,3.6856431619517096
2023-04-02,23.1,9.4,16.5,0.0,10.885714285714286,8.236666666666668,1.5999999999999996,3.846940865543494
2023-04-03,24.5,7.8,16.3,0.0,12.471428571428572,8.636666666666667,-0.1999999999999993,4.042403120484865
2023-04-04,20.7,11.6,15.5,8.6,13.700000000000001,9.0,-0.8000000000000007,4.155345539389494
2023-04-05,15.4,8.4,12.3,44.1,14.128571428571428,9.236666666666668,-3.1999999999999993,4.13358684799111
2023-04-06,10.8,6.9,8.9,3.0,13.814285714285715,9.253333333333332,-3.4000000000000004,4.1311043303825885
2023-04-07,13.5,2.7,7.7,0.3,13.157142857142858,9.196666666666667,-1.2000000000000002,4.140671554173339
2023-04-08,13.1,0.7,6.7,0.0,11.985714285714286,9.133333333333333,-1.0,4.164574187227257
2023-04-09,16.0,2.1,8.2,0.0,10.799999999999999,9.086666666666668,1.4999999999999991,4.1670078021271495
2023-04-10,18.0,4.1,10.6,0.0,9.985714285714286,9.073333333333334,2.4000000000000004,4.161310580469387
